"Type","Distribution","nvess","OVL","MSRE","SDSRE"
"Exhaustive","Exponential",100,96.9235151956714,0.0235107895014823,0.105270655871785
"Exhaustive","Exponential",150,97.5558945941318,-0.00829465437100549,0.0824054850254595
"Exhaustive","Exponential",200,97.8960541696533,0.000725583516159442,0.0711271415474969
"Exhaustive","Exponential",300,98.2868288956256,0.00185486943766878,0.0563296846422145
"Exhaustive","Exponential",500,98.588226026424,-0.00881700021848485,0.0452623587969015
"Exhaustive","Exponential",750,98.9999224395679,0.00703390431155605,0.0361854740878997
"Exhaustive","Exponential",1000,98.9394961735286,0.00494739159894755,0.0351563061148741
"Exhaustive","Exponential",1500,99.1948083158045,0.00069713597946719,0.0284215546479109
"Exhaustive","Exponential",2500,99.3548010388621,0.00257983727699177,0.0218647143945201
"Exhaustive","Exponential",5000,99.5301296863542,0.000803519434311384,0.0157158669133748
"Exhaustive","Erlang(2)",100,95.9443313835108,0.0027645992063046,0.0907991502622222
"Exhaustive","Erlang(2)",150,97.0002846619903,-0.00445685775425038,0.066602103427095
"Exhaustive","Erlang(2)",200,97.4140150843718,-0.00400118095986764,0.0621635781609193
"Exhaustive","Erlang(2)",300,97.616967288983,0.0108573074331742,0.054256696967479
"Exhaustive","Erlang(2)",500,98.216953067615,-0.00722926495966574,0.0416310584871413
"Exhaustive","Erlang(2)",750,98.6935878999246,-0.00244189187087573,0.0311914717771277
"Exhaustive","Erlang(2)",1000,98.7397513445146,-0.00175332862872773,0.0304104105117119
"Exhaustive","Erlang(2)",1500,99.1682908183551,1.77904492350963e-05,0.0192685830985716
"Exhaustive","Erlang(2)",2500,99.2060537592396,-0.00328747013246011,0.0188684432995618
"Exhaustive","Erlang(2)",5000,99.4364179364798,0.0015320744915069,0.0129459995928431
"Exhaustive","Gamma",100,84.3417102290489,-0.0161035539163805,0.234992628560712
"Exhaustive","Gamma",150,86.4361179659846,0.016004700319033,0.197101997250479
"Exhaustive","Gamma",200,89.3532545382333,0.0359093459141373,0.156612616411123
"Exhaustive","Gamma",300,89.1323135694886,-0.0121660060891108,0.170811151319155
"Exhaustive","Gamma",500,92.9558249613459,-0.00756789956215283,0.105149779024524
"Exhaustive","Gamma",750,93.6413198638149,0.000987586643614879,0.0910255575464625
"Exhaustive","Gamma",1000,93.7917160477574,-0.00113758934714462,0.100974389546577
"Exhaustive","Gamma",1500,96.2613229850504,0.00299118803498902,0.0520154802119935
"Exhaustive","Gamma",2500,96.885847394726,0.00352989662384566,0.0407347403350778
"Exhaustive","Gamma",5000,97.4893739357638,-0.00483557424712815,0.0396807078052959
"Exhaustive","Weibull",100,84.8824594949495,-0.0223933421132353,0.210978802439136
"Exhaustive","Weibull",150,88.7242901,-0.00430991514664974,0.146723134863877
"Exhaustive","Weibull",200,90.3838147,-0.0114376576934971,0.159420544198146
"Exhaustive","Weibull",300,91.7966891,-0.00376099857226272,0.104336802614647
"Exhaustive","Weibull",500,94.2718249,-0.00794317564551623,0.0682220341189143
"Exhaustive","Weibull",750,94.3810953,-0.000957068434909419,0.0813721407853708
"Exhaustive","Weibull",1000,96.204891,0.00704837594995073,0.0556480611686618
"Exhaustive","Weibull",1500,96.4266262,-0.000957247679899477,0.0552110945159622
"Exhaustive","Weibull",2500,97.114543,0.00243893468805599,0.0427202840309408
"Exhaustive","Weibull",5000,97.9259437,-0.00291029003413361,0.0276634001113388
"Exhaustive","Log-normal",100,86.4333251,0.0194226780801256,0.177324263346019
"Exhaustive","Log-normal",150,89.4020884,-0.00339649975739452,0.128091657113855
"Exhaustive","Log-normal",200,90.9422642,0.0190875705929886,0.107478688342893
"Exhaustive","Log-normal",300,90.9307765,0.0121312350611734,0.12502021898517
"Exhaustive","Log-normal",500,93.8215007,0.00502336438731566,0.0927672152544393
"Exhaustive","Log-normal",750,94.7235408,0.00798172323685469,0.0816007871645642
"Exhaustive","Log-normal",1000,95.8470142,0.00792130930543918,0.0634125991427568
"Exhaustive","Log-normal",1500,96.7541063,0.0103079596112107,0.0456874207158673
"Exhaustive","Log-normal",2500,97.2102214,0.00457118178198922,0.0401007372352945
"Exhaustive","Log-normal",5000,98.1618396,-0.00174029534157932,0.0242331651919361
"Subsamples","Exponential",50,96.9052970198098,-0.00419529923438927,0.102864443699153
"Subsamples","Exponential",75,97.7219197144047,-0.00355422579833442,0.0783514694749258
"Subsamples","Exponential",100,98.1361420101612,0.0058636313788192,0.0624927697752428
"Subsamples","Exponential",150,98.2720266765237,0.00506602404456674,0.0588141979737757
"Subsamples","Exponential",250,98.8702293039089,0.00250897700080205,0.0379968896995697
"Subsamples","Exponential",500,99.157719250603,-0.000670408795649823,0.0281637717390946
"Subsamples","Erlang(2)",50,96.2532752146581,0.0110577647379493,0.0872850020590166
"Subsamples","Erlang(2)",75,97.1794378635769,0.0129884793151354,0.0645558403487684
"Subsamples","Erlang(2)",100,97.5219047801913,-0.00134153280916891,0.058436520591126
"Subsamples","Erlang(2)",150,97.5349097139712,-0.00171227134688215,0.0557561585250508
"Subsamples","Erlang(2)",250,98.3456207749066,-0.00228886604759258,0.0370981738138325
"Subsamples","Erlang(2)",500,98.8544801209392,0.00264230733189399,0.0266731605920008
"Subsamples","Gamma",50,78.4595384182502,0.0143223532947814,0.191993214072596
"Subsamples","Gamma",75,82.1095168866707,0.0146220204762071,0.190181342788131
"Subsamples","Gamma",100,85.4842559619374,-0.00156819880890366,0.158657054201888
"Subsamples","Gamma",150,89.303987069853,0.0096299050883929,0.113721098925037
"Subsamples","Gamma",250,92.019826494113,0.0155015376207144,0.0814681789811369
"Subsamples","Gamma",500,94.6290750807693,0.000499195353576314,0.0618631456615942
"Subsamples","Weibull",50,76.9860638071764,-0.00450530897567243,0.19614986731238
"Subsamples","Weibull",75,85.7367104,0.00168294538229845,0.136783504625318
"Subsamples","Weibull",100,87.3802401,0.00982600280128334,0.125451384181909
"Subsamples","Weibull",150,90.9965505006053,0.00521434195219482,0.112086246124881
"Subsamples","Weibull",250,93.3486631,0.00488386663222022,0.0789596394070697
"Subsamples","Weibull",500,94.8090368,0.00684501407101806,0.0631563624884768
"Subsamples","Log-normal",50,78.319765688914,0.00523106426656473,0.184545140835883
"Subsamples","Log-normal",75,85.0205533559548,0.019626504463816,0.129177980056157
"Subsamples","Log-normal",100,89.2076864360533,0.00253453938519329,0.116796521176772
"Subsamples","Log-normal",150,92.1258203491835,0.00700944330713627,0.0856960658127934
"Subsamples","Log-normal",250,93.6996662519606,-0.00292069281956418,0.071665998911098
"Subsamples","Log-normal",500,95.229878637263,0.00951866763862562,0.0495103309476092
